,video_id,comments
12,q2QvA3wwAe0,"['Always last clip is my favourite because Mohit bolta hai mera naam bhi Mohit hai 😂😂😂', 'Too hai pagal to hai subse bada pagal', 'Cermenat', 'Mtlb Bollywood = bak...... Chodi 😂😂😂', '😂😂😂', 'Bodsiwala', 'Oh HHH hhhhhhhhh hhhhhhhhh🤣🤣🤣\nBig fan of you \n#carryminati', '0:06 bhai mu se pani nikal gya aur ankhe phat ke bahar aa gyi👀 \nAkhir bol hi diya 😐\n""Suprabhat Bhosdiwalo""', 'Agar tumne yhn Acharya Prashant ko roast krne ki koshish ki to tumhara bhla bhgwan kre 💀', 'nmn bj bj bj b m jv gjv ugyv gu guvu v7viyvh hg ug gu j h  y h   h79y78y89g8tg79tu9gt9y9yh98yy8y9']"
13,zzwRbKI2pn4,"['Isse ab yahi khatam karte hai mera hogye. \nIs vakt jo mujhe pyaar mila hai voh mein kabhi nhi bhulunga iske liye shukriya shabd bohot chota hai ❤️\nApan nhi rukenge, ab agle video ki tayari shuru 😈', 'carryminati by carryminati bhai love you bro', 'Oppppppppp💪🤘😍😍😍😍😍', 'Ooooooooooooooooooooooooooo \U0001fae1\U0001fae1\U0001fae1\U0001fae1\U0001fae1\U0001fae1\U0001fae1\U0001fae1', '❤️👍❤️❤️❤️👍❤️👍❤️❤️👍❤️👍❤️👍❤️👍❤️❤️👍❤️❤️❤️👍👍❤️👍❤️👍❤️❤️☺️👍☺️👍☺️❤️👍❤️❤️❤️☺️❤️👍❤️👍❤️👍❤️❤️❤️👍❤️❤️❤️❤️👍❤️❤️❤️👍👍👍❤️😊❤️😊❤️😊❤️😊😊😊😊😊❤️😊❤️😊❤️😊❤️😊❤️😊❤️😊❤️😊😊❤️❤️😊☺️😊❤️😊❤️❤️❤️😊❤️😊❤️😊❤️😊❤️😂❤️❤️❤️❤️❤️👍❤️👍☺️👍❤️❤️❤️❤️👌❤️👌❤️👌❤️❤️👌👌❤️👌👌👌👌👌❤️👌❤️👌❤️👌❤️👌👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️❤️👌👌👌❤️👌❤️👌❤️👌👌❤️👌👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌👌❤️👌👌❤️👌👌❤️👌❤️👌❤️👌❤️❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌❤️👌👌❤️👌❤️👌❤️👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌❤️👌❤️👌❤️❤️👌❤️👌👌❤️👌❤️👌❤️👌❤️👌', 'Op bhai big fan', 'OP bhai', 'The End 💥', '🔥🔥🔥 These fires came while listening 🎧', 'The only 1 video almost everyone watch without skipping 👊💥..........']"
14,WUdo9lzpaas,"['Carryminati is with you', 'Keep it up bro,what you can the best♥️', '🎉♥️', '😭😭😭😭😭😭😭😭😭😭', 'https://youtube.com/channel/UCXGNNkpzcoa8BII-7ICl2Zg', 'https://youtu.be/Zo-SvGadwRE', 'https://youtube.com/shorts/ksWeS_LuRmE?feature=share', 'https://youtube.com/shorts/ksWeS_LuRmE?feature=share', 'Pat-2https://youtu.be/Q8tpQKECBOU', ""Ek 19 20 saal ke ladke ke liye record breaking video uske channel se hatadena ye sachme darnaak hai out of 75M views on that video YouTube vs tiktok carryminati goddammit!! But its not the end just have a look on this👇\n2020 : 10 millions subscribers \nBut After Carry got angry and 🔥 means YALGAAR...\n2022 : 36.9 Millions subscriber and become the Asia's no.1 youtuber\nThis is called real revenge Bc. ❤\n Always with you carry YALGAAR HO!!""]"
15,YXlRTFhfE_4,"[""Don't be emotional fucking haters do hate"", '💋💋💋', 'Mbhjhhhhujhgyhjjjhyyyuuuii', 'Still waiting 2022', '😭😭😭😭😭', 'Carry minati sale dogle', 'Hey!kya Aap ab bhi is video ko dekh rhe ho', 'ok', 'YouTube ❤ jindabaad tha hai rahega', 'bhai sad mat ho kuki thu me ho youtube ka batsa']"
16,WNWZNyXSvW0,"['Dhillii vs tamulpruian for war lorad fiter Hocking challend', 'Battle song = warrior', 'This is not a song this is a motivation 💫💥', 'Nerd😍😘😘', 'You are better than emiway', 'You have been trying so nice', 'Katwa daud Randi baj', 'Windaadgdswffhhall skhsbjhb hehng hdgkh\nGdvj', 'Wtf.. cowards voice\nWoomanish Indian 😂😂😂😂', 'I LOVE YOU CARRY BHI']"
17,GOFQN8otiYs,"['Who suddenly think this video and come to watch 🤣🤣😂😂', 'Kuchh kariye', 'Nice video', 'https://youtube.com/channel/UCwl3n7gf45LJnddqQHdE5yQ', 'carri bhai mereco apna nambar de do', '🤣🤣🤣🤣', 'https://youtube.com/shorts/F-LyyLjF6WE?feature=share', 'Support subscribe', 'carry please roast tarun gill , 🙏🏻🙏🏻🙏🏻🙏🏻', 'Whoever is reading this may God bless you and may you have abundant happiness prosperity and  success in your life.']"
18,WcjMwfwfojQ,"['WARNING: THIS VIDEO IS MADE WITH LOVE', '2023 NOW', 'Rock on bawa', 'कैरी मी नाटी भाई', 'But I think roasting is best option in all of this', 'whatched this like 10 times', '1:17 true', '0:05 so funny 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣😁😂🤣🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂😂😂😂😂😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂😂😂😂😂😂🤣😂🤣😂🤣🤣😂🤣😂😂😂😂😂😂😂🤣😂🤣😂🤣🤣🤣😂🤣😂😂😂🤣😂😂😂😂😂', 'I am watching this video when carryminati has 37m subscribers😂', 'The only 1 channel almost everyone watch without skipping 👊💥....']"
19,9DAKh_XCk6g,"['2 million likes aim hai, kardena! \nLove you all ❤️', 'Big boss to chhutiyan log dekhte Bhai🤣🤣🤣😂', 'Punjab di kudi bul bul bule', 'Bhai mera yoda le gye 😶😶🤣🤣🤧', 'You are awesome 🥰🥰', 'Abe nirma ki ad wali part mast tha na 😂', 'Sidharth Sukhlal ❤️❤️', 'Enjoyed watching even after 2 years, it will never get old. Tho lado BC', 'Washing powder nirma Washing powder nirma', '🤣🤣🤣🤣']"
20,0Cyvhz1GmRI,"['Made it from my ❤️ hope you guys can connect 🙌', 'Listen Time - 31 OCT 2022 Always Vibe 🔥', '1:59 Best ❤️❤️❤️', '0:53', '2.00 🥺🥺', 'Ohhh ! The lyrics... All in one and only one ❤️', '1 number carry bhai 💞 Love from Gujarat 💞.', ""I thought the song's about your journey but it's about siblings too lol the warm/cool tone is so subtle...but yes they r love ❤️"", '2:00 minute k liya dil se gana sono mja ajaga shi bta rha ho zindgi ma koi be deket ho na bs galat chiz ko support mt Krna pta nhi kitna log galat rasta p chal rha h koi be deeket ho bs gana sono dil laga ka zindgi k bara ma motivation h yarr ab zindagi sokon se jiyo end chlo by', 'Carry minati DADA op song op ❤️\u200d🔥😭🥲😢😥♥️♥️❤️❤️❤️\u200d🔥🙏🙏👏🙌🥲🥲😥']"
21,ARKlB5Roq14,"['""itna chaalak gorilla itne chutiye sei park mei kar kya raha tha ""', '😁😁😁😁😁', 'Oooooooooooo🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'That bhabhi in zoo....with that backless blouse 🥵🤪😏', '12 Ka 4 42 Ka 1', 'Are bhaiiii', 'UNSTOPPABLE CARRY BHAI ❣️', '🤣🤣😍', 'indian serial is ****ed', 'bangladeshi drama is very modern than indian drama']"
